OBJECTID;Perimetro;Area;CantidadConstrucciones;Area_int;X_MAGNAMED;Y_MAGNAMED;CS_TF;EQ_TF;H_TF;PP_TF;PC_TF;PP_TF;TR_TF;UR_TF;ValorM2;ZP_TF;R_TF;C_AvaluoLote;C_AvaluoConstruccion;C_AvaluoTotal
300643;334.5918182;5601.561124;0;5601;842036.0947;1185882.369;0;1;1;1;0;1;0;1;4985;0;1;18736000;31095000;49831000
161147;237.5563844;3946.85303;0;3946;842099.2306;1185907.889;0;1;0;1;0;1;0;1;4985;0;1;14168000;9574000;23742000
161141;217.2211089;2639.830423;0;2639;842152.8172;1185905.531;0;1;0;1;0;1;0;1;4985;0;1;10558000;17753000;28311000
300642;578.2144319;15973.14299;0;15971;842247.8506;1185945.924;0;1;1;1;0;1;0;1;4985;0;1;47376000;27819000;75195000
238501;202.0945185;1859.820498;0;1860;842512.5039;1185966.439;0;1;0;1;0;1;0;0;4985;0;1;8900000;64536000;73436000
161151;433.1439188;8767.171818;0;8766;841252.7791;1186177.754;1;1;0;1;0;1;1;1;4985;0;1;25982000;0;25982000
161148;287.6438383;3680.620579;0;3680;841177.2327;1186220.745;1;1;1;1;0;1;1;1;4985;0;1;12701000;0;12701000
257046;276.170062;3784.50692;0;3784;841125.9407;1186266.936;1;1;0;1;0;1;1;1;4985;0;1;12973000;0;12973000
257051;415.4010221;6543.083086;0;6542;841185.2236;1186277.775;1;1;1;1;0;1;1;1;4985;0;1;21334000;18301000;39635000
292191;803.9947107;24146.76267;0;24143;841180.6331;1186359.849;1;1;1;1;0;1;1;1;4985;0;1;69943000;10487000;80430000
292190;352.0511912;6273.569109;0;6273;841219.2041;1186445.479;1;1;1;1;0;1;1;1;4985;0;1;19991000;31564000;51555000
257045;378.2515796;4949.161173;0;4948;841086.8444;1186334.567;1;1;0;1;0;1;1;1;4985;0;1;16013000;0;16013000
292189;298.0500155;5045.66958;0;5045;841072.7316;1186166.443;1;1;0;1;0;1;1;1;4985;0;1;17199000;24545000;41744000
257048;176.7907622;1783.326493;0;1783;841085.8429;1186086.29;1;1;0;1;0;1;1;1;4985;0;1;7748000;0;7748000
292188;126.7833143;796.0011765;0;796;841080.2912;1186022.241;1;1;0;1;0;1;1;1;4985;0;1;3739000;26613000;30352000
292187;164.1592621;1577.767513;0;1578;841088.9889;1185999.269;1;1;0;1;0;1;1;1;4985;0;1;5212000;10916000;16128000
257053;291.4701594;3200.17989;0;3200;841112.8815;1186063.993;1;1;0;1;0;1;1;1;4985;0;1;12105000;13475000;25580000
161259;362.0383017;6334.357606;0;6333;841181.6429;1186068.407;1;1;0;1;0;1;1;1;4985;0;1;20760000;16391000;37151000
296705;453.5344632;7286.863845;0;7286;840967.6631;1185806.118;1;1;0;1;0;1;1;1;3408;0;1;15992000;13615000;29607000
153281;751.9999286;19651.82337;0;19649;841072.1485;1185639.178;1;1;1;1;0;1;1;1;1588;0;1;39327000;0;39327000
160342;1121.845769;53517.36069;0;53509;841156.9503;1185709.678;1;1;1;1;0;1;1;1;1588;0;1;103258000;174446000;277704000
297609;272.3215106;4513.798396;0;4513;840860.4312;1178984.427;1;1;0;1;1;1;0;0;15651;1;1;39235000;22954000;62189000
297599;290.1171549;3685.595455;0;3685;840787.769;1179006.083;0;1;0;1;1;1;0;1;15651;1;1;32055000;34914000;66969000
298717;294.9979334;3683.435794;0;3683;840746.8237;1179052.574;0;1;0;1;1;1;0;1;15651;1;1;32037000;22926000;54963000
297608;255.9615373;3491.295514;0;3491;840722.1809;1179022.522;0;1;0;1;1;1;0;1;15651;1;1;30371000;21317000;51688000
297607;261.2557123;3740.471401;0;3740;840727.384;1178928.793;0;1;0;1;1;1;0;1;15651;1;1;32530000;128603000;161133000
297606;321.9708665;6173.284902;0;6172;840798.6562;1178949.12;0;1;0;1;1;1;0;1;15651;1;1;53622000;85285000;138907000
298144;224.8454051;3212.28776;0;3211;840338.6235;1178500.843;0;1;1;1;1;1;0;1;15651;0;1;27946000;0;27946000
298997;221.4918554;1845.194064;0;1843;840340.2774;1178451.189;0;1;1;1;1;1;0;1;15651;0;1;16084000;0;16084000
298786;175.4063329;1800.2937;0;1800;839943.6825;1178309.517;0;1;0;1;1;1;0;1;15651;1;1;15710000;0;15710000
298785;204.4908752;1800.297129;0;1800;839958.9995;1178257.594;0;1;0;1;1;1;0;1;15651;1;1;15710000;0;15710000
298602;191.5744997;2157.15288;0;2157;839974.7632;1178222.565;0;1;0;1;1;1;0;1;15651;1;1;18804000;336746000;355550000
298601;323.7019675;6798.889667;0;6798;839959.1665;1178376.134;0;1;0;1;1;1;0;1;15651;1;1;59044000;120354000;179398000
306123;327.7289758;3708.595202;0;3708;839943.3802;1178430.77;1;1;0;1;1;1;0;1;15651;1;1;32254000;0;32254000
298993;510.2606034;3097.699604;0;3097;840459.2388;1178284.857;0;1;0;1;1;1;0;1;15651;1;1;25490000;0;25490000
298143;250.9698582;3198.167321;0;3198;840442.1781;1178351.661;0;1;0;1;1;1;0;1;15651;1;1;282451000;45987000;328438000
298366;250.8796994;3215.122138;0;3215;840350.9888;1178297.834;0;1;0;1;1;1;0;1;15651;1;1;26451000;0;26451000
298142;252.7596853;3226.294837;0;3226;840386.0798;1178308.26;0;1;0;1;1;1;0;1;15651;1;1;26545000;0;26545000
298141;242.7698387;3274.290537;0;3274;840439.383;1178307.784;0;1;0;1;1;1;0;1;15651;1;1;28488000;65987000;94475000
299006;278.1182896;4318.278588;0;4318;840271.4406;1178270.725;0;1;1;1;1;1;0;1;15651;0;1;35498000;0;35498000
298996;273.2109032;3797.746188;0;3797;840314.7024;1178283.226;0;1;0;1;1;1;0;1;15651;0;1;33027000;34349000;67376000
298365;41.6028661;93.73135292;0;94;840357.0603;1178438.887;0;1;0;1;1;1;0;1;15651;0;1;915000;21511000;22426000
303607;80.12082733;400.0626802;0;400;840747.4424;1178889.457;0;1;0;1;1;1;0;1;15651;1;1;3570000;41338000;44908000
303610;161.7026868;1548.658728;0;1548;840773.3906;1178874.701;0;1;0;1;1;1;0;1;15651;1;1;13528000;39004000;52532000
303588;271.3149339;3494.542281;0;3494;840822.2489;1178892.104;0;1;0;1;1;1;0;1;15651;1;1;19627000;78762000;98389000
303590;255.3301226;3552.792019;0;3552;840827.568;1178834.496;0;1;0;1;1;1;0;1;15651;1;1;30903000;92938000;123841000
303609;750.3272932;22241.0817;0;22238;840729.3801;1178812.477;0;1;0;1;1;1;0;1;15651;1;1;192913000;39675000;232588000
162411;224.5880929;2320.433073;0;2320;840791.9214;1178724.987;0;1;0;1;1;1;0;1;15651;1;1;20220000;142959000;163179000
261244;220.8865802;2248.469508;0;2248;840785.4157;1178696.641;0;1;0;1;1;1;0;1;15651;1;1;19592000;33919000;53511000
297275;240.5029646;3451.798156;0;3451;840766.8117;1178661.232;0;1;0;1;1;1;0;1;15651;1;1;30023000;78680000;108703000
261241;155.8304234;1430.858766;0;1431;840727.1205;1178716.053;0;1;0;1;1;1;0;1;15651;1;1;12515000;49019000;61534000
261240;82.90804466;398.2334743;0;398;840698.9637;1178708.449;0;1;0;1;1;1;0;1;15651;1;1;3555000;26056000;29611000
297277;70.54264897;287.6943031;0;288;840684.7897;1178706.178;0;1;0;1;1;1;0;1;15651;1;1;2600000;35803000;38403000
304142;228.737921;3159.3079;0;3159;840692.0069;1178754.718;0;1;0;1;1;1;0;1;15651;1;1;306919000;91766000;398685000
303608;316.5259921;6144.716914;0;6144;840633.8179;1178729.547;0;1;0;1;1;1;0;1;15651;1;1;530617000;174336000;704953000
297279;218.954469;1710.531688;0;1710;840628.2987;1178626.448;0;1;0;1;1;1;0;1;15651;0;1;15258000;0;15258000
297278;223.7869716;2301.717121;0;2301;840645.8487;1178609.131;0;1;0;1;1;1;0;1;15651;0;1;20057000;106932000;126989000
297282;220.2125052;2515.809;0;2515;840664.4251;1178582.898;0;1;0;1;1;1;0;1;15651;0;1;21914000;119918000;141832000
261238;102.7186589;452.4896883;0;452;840690.992;1178572.818;0;1;0;1;1;1;0;1;15651;0;1;11068000;76348000;87416000
292866;153.6853035;1404.294325;0;1404;840670.7616;1178544.882;0;1;0;1;1;1;0;1;15651;0;1;13667000;0;13667000
297281;93.87071223;510.5093592;0;510;840704.2265;1178562.224;0;1;0;1;1;1;0;1;15651;0;1;4528000;58665000;63193000
229407;474.2202382;11362.30839;0;11361;840721.7854;1178625.886;0;1;0;1;1;1;0;1;15651;1;1;98611000;18585000;117196000
297280;103.9904711;649.2313393;0;649;840770.4444;1178536.622;0;1;0;1;1;1;0;1;15651;1;1;12400000;62571000;74971000
266956;129.4039954;946.3553836;0;946;840785.0434;1178508.725;0;1;0;1;1;1;0;1;15651;1;1;8307000;452342000;460649000
266968;225.5216527;2497.961943;0;2498;840776.0491;1178476.161;0;1;0;1;1;1;0;1;15651;1;1;21758000;43874000;65632000
280439;248.5084546;1080.900861;0;1081;840749.7845;1178460.414;0;1;0;1;1;1;0;1;15651;0;1;11937000;0;11937000
296176;165.723193;1756.633088;0;1756;840724.818;1178457.566;0;1;0;1;1;1;0;1;15651;0;1;15535000;0;15535000
261237;242.4246484;3476.123166;0;3476;840721.9086;1178514.679;0;1;1;1;1;1;0;1;15651;0;1;30239000;158844000;189083000
297276;163.7903565;976.9102035;0;977;840702.9792;1178539.893;0;1;0;1;1;1;0;1;15651;0;1;11389000;0;11389000
298600;216.3733003;1885.44678;0;1885;840626.936;1178478.356;0;1;1;1;1;1;0;1;15651;0;1;16448000;77565000;94013000
298599;335.8762536;4665.147999;0;4664;840574.1298;1178494.541;0;1;0;1;1;1;0;1;15651;1;1;40549000;185149000;225698000
298598;311.2687931;4674.826936;0;4674;840527.3824;1178464.14;0;1;0;1;1;1;0;1;15651;1;1;40630000;57224000;97854000
298360;348.0905522;5764.418255;0;5764;840474.57;1178460.536;0;1;0;1;1;1;0;1;15651;1;1;48624000;33196000;81820000
299004;350.7703015;6153.021494;0;6152;840420.558;1178465.481;0;1;0;1;1;1;0;1;15651;1;1;53445000;26413000;79858000
298147;268.3839275;2777.599128;0;2777;840379.534;1178475.036;0;1;0;1;1;1;0;1;15651;0;1;24183000;37951000;62134000
298784;243.7627812;3555.670771;0;3555;840276.9516;1178515.666;0;1;0;1;1;1;0;1;15651;0;1;30929000;29550000;60479000
307907;331.8627759;6302.968128;0;6302;840263.3934;1178581.677;0;1;0;1;1;1;0;1;15651;1;1;1237015000;341595000;1578610000
216619;176.5230678;1714.845051;0;1715;840222.972;1178543.889;0;1;0;1;1;1;0;1;15651;1;1;14967000;50803000;65770000
216604;176.1215892;1675.366198;0;1675;840208.591;1178517.605;0;1;0;1;1;1;0;1;15651;1;1;15935000;0;15935000
216620;489.1983068;9760.715106;0;9759;840216.4549;1178458.257;0;1;0;1;1;1;0;1;15651;0;1;84723000;179862000;264585000
